iter	Accuracy	Logloss
0	0.5570731707	0.6891400434
1	0.6234146341	0.6808131218
2	0.6536585366	0.6763825474
3	0.672195122	0.6717191539
4	0.6682926829	0.669558766
5	0.6780487805	0.6637878513
6	0.6907317073	0.6588904891
7	0.6936585366	0.6577351454
8	0.6936585366	0.652909944
9	0.7112195122	0.6489760099
10	0.7082926829	0.645401343
11	0.7307317073	0.6426493351
12	0.7317073171	0.6397187408
13	0.7385365854	0.63445999
14	0.7365853659	0.6326473325
15	0.7375609756	0.6301208333
16	0.7404878049	0.6284208219
17	0.7395121951	0.6255660696
18	0.7502439024	0.6210341706
19	0.7697560976	0.6167603344
20	0.7697560976	0.6142007135
21	0.7765853659	0.6100145901
22	0.7785365854	0.6062399568
23	0.7746341463	0.6043081621
24	0.7795121951	0.6023805571
25	0.7795121951	0.5973596893
26	0.7814634146	0.5937458038
27	0.7941463415	0.5913843897
28	0.7931707317	0.5887427511
29	0.8009756098	0.5855470007
30	0.7941463415	0.5845421903
31	0.7941463415	0.5821886952
32	0.8009756098	0.580025009
33	0.8009756098	0.5784745903
34	0.8058536585	0.5741534477
35	0.8048780488	0.57308732
36	0.807804878	0.5714027617
37	0.8126829268	0.5674417402
38	0.8156097561	0.5647897912
39	0.8107317073	0.5641271233
40	0.8185365854	0.5626893677
41	0.8214634146	0.5582547249
42	0.8214634146	0.556732247
43	0.8273170732	0.5534926622
44	0.8253658537	0.5514890142
45	0.8292682927	0.5473793012
46	0.8302439024	0.5466461698
47	0.8302439024	0.5450684471
48	0.8351219512	0.5418506586
49	0.8341463415	0.5408232303
50	0.8380487805	0.5384141702
51	0.8380487805	0.5371140687
52	0.8390243902	0.5345864917
53	0.8370731707	0.532839252
54	0.8370731707	0.5319360761
55	0.843902439	0.5306251336
56	0.8546341463	0.5253649431
57	0.8624390244	0.5236287787
58	0.8634146341	0.518959561
59	0.8643902439	0.517889826
60	0.8653658537	0.5171763495
61	0.8673170732	0.5152478651
62	0.8692682927	0.5138478851
63	0.8673170732	0.5116588494
64	0.8692682927	0.5108415375
65	0.8741463415	0.5083949236
66	0.8741463415	0.5068078269
67	0.876097561	0.5032573381
68	0.8751219512	0.5020128259
69	0.8829268293	0.4995788964
70	0.8858536585	0.4972767952
71	0.8858536585	0.4962876515
72	0.8848780488	0.4940370759
73	0.8848780488	0.4934994024
74	0.8868292683	0.4929297943
