iter	Passed	Remaining
0	0	549
1	1	556
2	1	557
3	2	555
4	2	541
5	3	535
6	3	527
7	4	525
8	4	520
9	5	512
10	5	508
11	6	504
12	6	504
13	7	501
14	7	502
15	8	502
16	8	501
17	9	501
18	9	500
19	10	498
20	10	495
21	11	493
22	11	491
23	12	492
24	12	491
25	13	491
26	13	489
27	14	489
28	14	487
29	15	486
30	15	486
31	16	486
32	16	486
33	17	486
34	17	486
35	18	484
36	18	484
37	19	483
38	19	482
39	20	481
40	20	480
41	21	479
42	21	479
43	22	478
44	22	478
45	23	478
46	23	477
47	24	476
48	24	477
49	25	477
50	25	477
51	26	476
52	26	475
53	27	475
54	27	475
55	28	474
56	28	474
57	29	472
58	29	471
59	30	470
60	30	470
61	31	469
62	31	468
63	32	468
64	32	467
65	32	466
66	33	466
67	33	465
68	34	465
69	34	464
70	35	465
71	36	465
72	36	464
73	37	463
74	37	464
